,1,2268318,2520377,pv,1511544070
0,1,2333346,2520771,pv,1511561733
1,1,2576651,149192,pv,1511572885
2,1,3830808,4181361,pv,1511593493
3,1,4365585,2520377,pv,1511596146
4,1,4606018,2735466,pv,1511616481
5,1,230380,411153,pv,1511644942
6,1,3827899,2920476,pv,1511713473
7,1,3745169,2891509,pv,1511725471
8,1,1531036,2920476,pv,1511733732
9,1,2266567,4145813,pv,1511741471
10,1,2951368,1080785,pv,1511750828
11,1,3108797,2355072,pv,1511758881
12,1,1338525,149192,pv,1511773214
13,1,2286574,2465336,pv,1511797167
14,1,5002615,2520377,pv,1511839385
15,1,2734026,4145813,pv,1511842184
16,1,5002615,2520377,pv,1511844273
17,1,3239041,2355072,pv,1511855664
18,1,4615417,4145813,pv,1511870864
19,1,4152983,2355072,pv,1511871096
20,1,266784,2520771,pv,1511884553
21,1,46259,149192,pv,1511892772
22,1,266784,2520771,pv,1511909676
23,1,4092065,2355072,pv,1511910242
24,1,1305059,2520771,pv,1511911930
25,1,2791761,2355072,pv,1511914689
26,1,3239041,2355072,pv,1511939239
27,1,46259,149192,pv,1511940971
28,1,4973305,2520771,pv,1511969365
29,1,2087357,2131531,pv,1511975142
30,1,3157558,2520771,pv,1511984943
31,1,2087357,2131531,pv,1512004568
32,1,4170517,149192,pv,1512011019
33,1,1340922,4690421,pv,1512041260
34,1,3911125,982926,pv,1512044958
35,1,4170517,149192,pv,1512049438
36,1,3682069,4690421,pv,1512059832
37,1,4954999,411153,pv,1512061318
38,1,79715,2355072,pv,1512064350
39,1,4666650,4756105,pv,1512084223
40,1,1323189,3524510,pv,1512149435
41,1,4198227,1320293,pv,1512149929
42,1,4954999,411153,pv,1512172732
43,1,2041056,4801426,pv,1512187543
44,1,3219016,3002561,pv,1512190033
45,1,2104483,4756105,pv,1512194830
46,1,2028434,4801426,pv,1512224248
47,1,3219016,3002561,pv,1512244023
48,1,2278603,3002561,pv,1512251522
49,1,929177,4801426,pv,1512252443
50,1,4954999,411153,pv,1512264993
51,1,818610,411153,pv,1512268502
52,1,271696,411153,pv,1512272591
53,1,568695,1320293,pv,1512281847
54,100,4572582,2188684,pv,1511550516
55,100,2971043,4869428,pv,1511550600
56,100,2379198,4869428,pv,1511550806
57,100,2971043,4869428,pv,1511550885
58,100,1220136,4869428,pv,1511550908
59,100,2518420,3425094,pv,1511551443
60,100,3763048,3425094,pv,1511551450
61,100,2518420,3425094,pv,1511551495
62,100,1953042,3425094,pv,1511551619
63,100,3763048,3425094,fav,1511551860
64,100,5100093,2945933,pv,1511552352
65,100,704268,223690,pv,1511563606
66,100,4115850,223690,fav,1511563834
67,100,2379198,4869428,pv,1511564961
68,100,2971043,4869428,fav,1511565222
69,100,1803559,1813868,pv,1511576533
70,100,1603476,2951233,buy,1511579908
71,100,3621238,1521931,pv,1511582166
72,100,2971043,4869428,buy,1511617549
73,100,2337874,1194311,pv,1511680485
74,100,4182583,1258177,pv,1511680521
75,100,2758020,2429887,pv,1511683649
76,100,4919803,2881542,pv,1511684032
77,100,3839112,2881542,pv,1511684109
78,100,4848310,2881542,pv,1511684220
79,100,3245421,2881542,pv,1511684245
80,100,2434962,3897386,pv,1511690835
81,100,3486895,4302328,pv,1511702025
82,100,3245421,2881542,pv,1511704155
83,100,3222578,2429887,pv,1511739395
84,100,2758020,2429887,pv,1511739402
85,100,2158340,2429887,pv,1511742127
86,100,2337874,1194311,pv,1511742199
87,100,3245421,2881542,fav,1511742273
88,100,2758020,2429887,pv,1511742275
89,100,3245421,2881542,pv,1511742513
90,100,2752250,2429887,pv,1511742799
91,100,2158340,2429887,fav,1511742875
92,100,598929,2429887,pv,1511742899
93,100,4182583,1258177,pv,1511745391
94,100,1819306,1194311,pv,1511745401
95,100,4182583,1258177,pv,1511750991
96,100,2337874,1194311,pv,1511751022
97,100,3658601,2342116,pv,1511757958
98,100,5153036,2342116,pv,1511758581
99,100,598929,2429887,buy,1511759458
100,100,3245421,2881542,pv,1511759664
101,100,598929,2429887,pv,1511765548
102,100,2971043,4869428,pv,1511765568
103,100,4661590,3425094,pv,1511765639
104,100,4902636,3425094,pv,1511765659
105,100,1046201,3002561,pv,1511765687
106,100,3687011,223690,pv,1511765918
107,100,2677866,3624696,pv,1511766122
108,100,4492008,4482016,pv,1511766135
109,100,2690154,2293367,pv,1511766238
110,100,4341929,2293367,fav,1511766408
111,100,4863356,2293367,pv,1511766426
112,100,4244099,2293367,pv,1511766434
113,100,562760,2293367,pv,1511766436
114,100,4863356,2293367,pv,1511766455
115,100,1640913,2293367,pv,1511766462
116,100,2206711,2293367,pv,1511766473
117,100,3895389,2293367,pv,1511766505
118,100,1046201,3002561,buy,1511767298
119,100,2434962,3897386,pv,1511768604
120,100,3245421,2881542,pv,1511771412
121,100,2434962,3897386,pv,1511773049
122,100,3629289,2881542,pv,1511774038
123,100,4075065,2881542,pv,1511774179
124,100,1606258,4098232,buy,1511789940
125,100,4840649,1029459,buy,1511790130
126,100,2574432,4896062,pv,1511790389
127,100,251391,3738615,buy,1511790782
128,100,510936,1575622,pv,1511790915
129,100,251391,3738615,pv,1511790928
130,100,4840649,1029459,pv,1511790973
131,100,3245421,2881542,pv,1511823877
132,100,4075065,2881542,pv,1511823917
133,100,251391,3738615,pv,1511824489
134,100,1606258,4098232,pv,1511824712
135,100,4075065,2881542,buy,1511833877
136,100,4840649,1029459,pv,1511868574
137,100,251391,3738615,pv,1511868672
138,100,4075065,2881542,pv,1511868722
139,100,1606258,4098232,pv,1511868772
140,100,1046201,3002561,pv,1511868784
141,100,251391,3738615,pv,1511929658
142,100,4840649,1029459,pv,1511929671
143,100,1606258,4098232,pv,1511929678
144,100,137999,4640311,pv,1512123219
145,100,1203280,4640311,pv,1512123340
146,100,2322855,3299155,pv,1512137970
147,100,4140845,2096639,pv,1512173626
148,100,3656511,3312150,pv,1512177480
149,100,2772937,3114694,pv,1512192261
150,100,2859169,2096639,pv,1512201298
151,100,1212558,2188684,pv,1512303987
152,1000,1385281,2352202,pv,1511541853
153,1000,5120034,1051370,cart,1511542034
154,1000,1953489,238434,pv,1511543045
155,1000,408860,551706,pv,1511543246
156,1000,4590199,4338287,pv,1511543742
157,1000,1976168,4338287,pv,1511543773
158,1000,4590199,4338287,pv,1511543777
159,1000,3722942,1051370,pv,1511570091
160,1000,3059682,2440115,pv,1511571595
161,1000,4774231,1312642,pv,1511571599
162,1000,2599546,3995452,fav,1511571647
163,1000,1501998,4382196,pv,1511656892
164,1000,2593031,1029459,pv,1511657118
165,1000,1797452,3624696,fav,1511657192
166,1000,3869395,1349561,pv,1511657410
167,1000,3302343,2342116,pv,1511657664
168,1000,5120034,1051370,pv,1511744280
169,1000,1186274,2939262,fav,1511744330
170,1000,4417931,4558987,pv,1511744491
171,1000,4769300,2430608,pv,1511745166
172,1000,2956844,2419959,fav,1511865506
173,1000,544269,2419959,pv,1511865555
174,1000,2956844,2419959,pv,1511865567
175,1000,4402665,1789614,pv,1511865925
176,1000,3011372,1349561,pv,1511865958
177,1000,4487355,1653613,fav,1511866709
178,1000,4185482,1653613,pv,1511874610
179,1000,2594546,1851156,pv,1511932926
180,1000,3255674,2440115,pv,1511933559
181,1000,2153891,1051370,pv,1511935123
182,1000,1925478,171529,pv,1511944345
183,1000,4793529,238434,pv,1511967232
184,1000,4827739,1051370,fav,1511972085
185,1000,843246,1879194,cart,1511972134
186,1000,848341,5071267,pv,1511972325
187,1000,203347,1851156,pv,1511974144
188,1000,4950759,411153,pv,1512039862
189,1000,2033067,3579754,pv,1512040022
190,1000,1822774,3579754,pv,1512040382
191,1000,543879,3579754,pv,1512040450
192,1000,462579,3579754,pv,1512040470
193,1000,1822774,3579754,pv,1512040518
194,1000,4720367,3579754,pv,1512041216
195,1000,1520357,3579754,pv,1512041447
196,1000,1373387,1202097,pv,1512041462
197,1000,1109842,3579754,pv,1512041625
198,1000,2196555,2430608,pv,1512042012
199,1000,4240134,2939262,pv,1512042734
200,1000,1907674,1851156,pv,1512042775
201,1000,1922292,4993094,fav,1512042934
202,1000,2033067,3579754,pv,1512043285
203,1000,4778761,2982027,pv,1512043597
204,1000,2663756,1299190,pv,1512043850
205,1000,4064135,1299190,fav,1512043880
206,1000,2663756,1299190,pv,1512043956
207,1000,620939,2352202,pv,1512043971
208,1000,2339773,1851156,pv,1512044079
209,1000,4444531,1851156,pv,1512044242
210,1000,694225,807138,pv,1512044563
211,1000,4599135,245312,pv,1512228047
212,1000,3532002,1299190,pv,1512228210
213,1000,3872382,1879194,fav,1512228264
214,1000,2412328,1879194,pv,1512228361
215,1000,3532002,1299190,pv,1512228449
216,1000,3877041,5053508,pv,1512228777
217,1000,308742,1864538,pv,1512229535
218,1000,3214150,5071267,pv,1512229711
219,1000,2340930,1051370,fav,1512229780
220,1000,1409153,5071267,pv,1512229806
221,1000,2340930,1051370,pv,1512230614
222,1000,1585986,1299190,pv,1512230625
223,1000,3259125,1851156,fav,1512230930
224,1000,3595165,1879194,pv,1512261579
225,1000,3899295,1879194,pv,1512261591
226,1000,2757984,1879194,pv,1512261604
227,1000,4236281,1879194,pv,1512261632
228,1000,3595165,1879194,pv,1512261670
229,1000,1064699,337243,pv,1512262246
230,1000,3172476,5071267,fav,1512262537
231,1000,1420706,2322253,pv,1512263754
232,1000,3507039,2086128,pv,1512263887
233,1000001,1649625,4145813,pv,1511800929
234,1000001,250452,4145813,pv,1511802582
235,1000001,1649625,4145813,pv,1511802711
236,1000001,3093290,4145813,pv,1511837788
237,1000001,4343896,4756105,pv,1511881700
238,1000001,3132168,154040,pv,1511881851
239,1000001,1582853,4173315,pv,1511881921
240,1000001,4567929,154040,pv,1511881980
241,1000001,2895228,154040,pv,1511882067
242,1000001,823063,154040,pv,1511882139
243,1000001,2999487,1973012,pv,1511924532
244,1000001,1339050,4145813,pv,1511964945
245,1000001,4636765,3004853,pv,1511965566
246,1000001,2428634,3004853,pv,1511965748
247,1000001,4636765,3004853,pv,1511965786
248,1000001,1112446,3004853,pv,1511965811
249,1000001,1678636,154040,pv,1511966514
250,1000001,1546182,154040,pv,1511966625
251,1000001,4636765,3004853,pv,1512018256
252,1000001,2527684,3004853,pv,1512018272
253,1000001,1649625,4145813,pv,1512051293
254,1000001,1542066,2926020,pv,1512052936
255,1000001,1649625,4145813,pv,1512117398
256,1000001,1542066,2926020,pv,1512137168
257,1000001,1649625,4145813,pv,1512209815
258,1000001,778160,4145813,pv,1512209978
259,1000001,4088463,174239,pv,1512261643
260,1000001,4418456,174239,pv,1512262033
261,1000001,4340362,174239,pv,1512262071
262,1000001,1554801,2926020,pv,1512263339
263,1000001,5081961,634390,pv,1512263483
264,1000001,4210726,2926020,pv,1512263670
265,1000001,4088463,174239,buy,1512264173
266,1000001,5095065,1216617,pv,1512264337
267,1000001,584577,1836480,pv,1512265168
268,1000004,2156592,3607361,pv,1511539241
269,1000004,1591982,672001,pv,1511539333
270,1000004,3854178,4181361,pv,1511571789
271,1000004,3999536,4756105,cart,1511571820
272,1000004,4426549,672001,pv,1511571838
273,1000004,1591982,672001,pv,1511571841
274,1000004,864562,4261392,pv,1511624303
275,1000004,2980887,3607361,cart,1511669671
276,1000004,4324270,3607361,pv,1511669729
277,1000004,2942146,3381933,pv,1511669739
278,1000004,4839543,982926,pv,1511669751
279,1000004,1133834,982926,pv,1511669775
280,1000004,4839543,982926,pv,1511669784
281,1000004,59883,4818107,pv,1511669796
282,1000004,4317893,1117956,pv,1511669818
283,1000004,950087,982926,pv,1511669828
284,1000004,4093990,3607361,pv,1511672939
285,1000004,522765,3607361,pv,1511672951
286,1000004,4763968,2355072,pv,1511672973
287,1000004,4093990,3607361,pv,1511672981
288,1000004,955594,1320293,pv,1511703217
289,1000004,2473596,4756105,pv,1511703252
290,1000004,2998425,1080785,pv,1511703261
291,1000004,1226070,1080785,pv,1511703277
292,1000004,2053091,1080785,pv,1511703391
293,1000004,4763968,2355072,pv,1511703434
294,1000004,1956224,4801426,pv,1511703443
295,1000004,40945,4756105,pv,1511703467
296,1000004,4192217,3607361,pv,1511703639
297,1000004,4823342,4173315,pv,1511703672
298,1000004,105055,1080785,pv,1511704082
299,1000004,162597,2355072,pv,1511704152
300,1000004,5028560,4173315,pv,1511704161
301,1000004,2526169,2355072,pv,1511704173
302,1000004,925404,3002561,pv,1511704194
303,1000004,1591982,672001,pv,1511707145
304,1000004,3693424,672001,pv,1511707152
305,1000004,3999536,4756105,pv,1511712361
306,1000004,1839512,1320293,pv,1511785444
307,1000004,4686539,149192,pv,1511785453
308,1000004,1839512,1320293,pv,1511785456
309,1000004,2765156,4112095,pv,1511965009
310,1000004,522765,3607361,pv,1511966013
311,1000004,2980887,3607361,pv,1511966037
312,1000004,1228106,4801426,pv,1511966082
313,1000004,4324270,3607361,pv,1511966092
314,1000004,5125742,3607361,pv,1511966096
315,1000004,571666,4756105,pv,1511966112
316,1000004,1975544,2355072,pv,1511966126
317,1000004,4324270,3607361,pv,1511966135
318,1000004,1757180,3607361,pv,1511966181
319,1000004,899145,3607361,pv,1511966192
320,1000004,2111992,1080785,pv,1511966212
321,1000004,1317750,1080785,cart,1511966265
322,1000004,4457235,1080785,pv,1511966306
323,1000004,1317750,1080785,pv,1511966317
324,1000004,1080797,3607361,pv,1511966390
325,1000004,479737,2355072,pv,1511966417
326,1000004,1863103,2355072,pv,1511966424
327,1000004,4363399,2355072,pv,1511966491
328,1000004,3417098,2355072,pv,1511966504
329,1000004,1757180,3607361,pv,1511966528
330,1000004,3235373,2355072,pv,1511966582
331,1000004,955501,149192,pv,1511966621
332,1000004,996928,2520377,pv,1511966627
333,1000004,4322536,4801426,pv,1511966636
334,1000004,955501,149192,pv,1511966656
335,1000004,3525158,737184,pv,1511966667
336,1000004,4823342,4173315,pv,1511966674
337,1000004,3525158,737184,pv,1511966686
338,1000004,955594,1320293,pv,1511966711
339,1000004,2187324,149192,pv,1511966731
340,1000004,2072281,1320293,pv,1511966748
341,1000004,2187324,149192,pv,1511966765
342,1000004,1317750,1080785,pv,1511966797
343,1000004,40945,4756105,pv,1511966884
344,1000004,3999536,4756105,pv,1511966891
345,1000004,4948650,982926,pv,1511967014
346,1000004,2750431,149192,pv,1511967048
347,1000004,3950842,4756105,pv,1511967069
348,1000004,1047994,2355072,pv,1511967078
349,1000004,2086446,1080785,pv,1511967088
350,1000004,2053091,1080785,pv,1511967125
351,1000004,155433,1320293,pv,1511967143
352,1000004,3404302,4756105,pv,1511967227
353,1000004,2104182,3459125,pv,1511967326
354,1000004,372559,4462359,pv,1511967411
